url,city,price,price_per_sqm,description,district_name,street_address,area_m2,upload_date
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-varketilshi-21821316,თბილისი,61812 $,"1,020 $ /მ2",იყიდება 2 ოთახიანი ბინა ვარკეთილში,არ არის მოწოდებული,ვარკეთილის მასივი III - IV კვარტ. 2,60.6,"13 ივლ, 18:49"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-saburtaloze-21820990,თბილისი,172000 $,"2,507 $ /მ2",იყიდება 3 ოთახიანი ბინა საბურთალოზე,არ არის მოწოდებული,პოლიტკოვსკაია ა. ქ. (ჯიქია) 3,68.6,"13 ივლ, 17:29"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-vakeshi-21820565,თბილისი,900 $,14 $ /მ2,ქირავდება 2 ოთახიანი ბინა ვაკეში,არ არის მოწოდებული,ჭავჭავაძე ი. გამზირი,65,"13 ივლ, 16:20"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-1-otaxiani-bina-varketilshi-21820351,თბილისი,44000 $,"1,257 $ /მ2",იყიდება 1 ოთახიანი ბინა ვარკეთილში,არ არის მოწოდებული,კალოუბნის ქ. 56,35,"13 ივლ, 15:44"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-sof-dighomshi-21820157,თბილისი,170000 $,"1,428 $ /მ2",იყიდება 3 ოთახიანი ბინა სოფ. დიღომში,არ არის მოწოდებული,ვაჟა-ფშაველას I შესახვევი 32,119.06,"13 ივლ, 15:11"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-ortachalashi-21605118,თბილისი,550 $,10 $ /მ2,ქირავდება 2 ოთახიანი ბინა ორთაჭალაში,არ არის მოწოდებული,კალანდაძე ბ. ქ. 15,55,"13 ივლ, 13:20"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-nadzaladevshi-21819281,თბილისი,400 $,9 $ /მ2,ქირავდება 2 ოთახიანი ბინა ნაძალადევში,არ არის მოწოდებული,"დავით გურამიშვილის გამზირი #25-33, 50-84 78",45,"13 ივლ, 12:11"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-gldanshi-21818491,თბილისი,76000 $,"1,456 $ /მ2",იყიდება 2 ოთახიანი ბინა გლდანში,არ არის მოწოდებული,ქერჩის ქ. 6,52.2,"12 ივლ, 22:17"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-did-dighomshi-21818487,თბილისი,600 $,10 $ /მ2,ქირავდება 2 ოთახიანი ბინა დიდ დიღომში,არ არის მოწოდებული,მირიან მეფის ქ. 5,60,"12 ივლ, 22:15"
https://livo.ge/udzravi-qoneba/qiravdebadghiurad-bina/qiravdeba-dghiurad-1-otaxiani-bina-gldanshi-21818387,თბილისი,29 $,1 $ /მ2,ქირავდება დღიურად 1 ოთახიანი ბინა გლდანში,არ არის მოწოდებული,ხიზაბავრას ქ. 3,40,"12 ივლ, 21:28"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-mtawmindaze-21818274,თბილისი,340000 $,"4,000 $ /მ2",იყიდება 3 ოთახიანი ბინა მთაწმინდაზე,არ არის მოწოდებული,ინგოროყვა პ. ქ. 19,85,"12 ივლ, 20:43"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-3-otaxiani-bina-mtawmindaze-21818224,თბილისი,1400 $,16 $ /მ2,ქირავდება 3 ოთახიანი ბინა მთაწმინდაზე,არ არის მოწოდებული,ინგოროყვა პ. ქ. 19,90,"12 ივლ, 20:32"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-saburtaloze-21817957,თბილისი,95000 $,"1,900 $ /მ2",იყიდება 2 ოთახიანი ბინა საბურთალოზე,არ არის მოწოდებული,ლორთქიფანიძე ო. ქ.,50,"12 ივლ, 18:46"
