url,city,price,price_per_sqm,description,street_name,street_number,area_m2,upload_date
https://www.myhome.ge/pr/21685375/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,"198,489","2,165 / მ²",იყიდება 3 ოთახიანი ბინა ქუთაისში,ბალახვანი,წერეთლის ქუჩა 184,91.7მ²,01 ივლ 15:53
https://www.myhome.ge/pr/21214793/qiravdeba-5-otaxiani-bina-qutaisshi/,ქუთაისი,"1,000",13 / მ²,ქირავდება 5 ოთახიანი ბინა ქუთაისში,გორა,პეტრიწის ქ. 2შ,80მ²,01 ივლ 14:31
https://www.myhome.ge/pr/20117053/qiravdeba-dghiurad-1-otaxiani-bina-qutaisshi/,ქუთაისი,60,,ქირავდება დღიურად 1 ოთახიანი ბინა ქუთაისში,ბალახვანი,ასათაინი ლ. ქუჩა 28,50მ²,30 ივნ 19:18
https://www.myhome.ge/pr/16497723/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,50,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,ზასტავა,რუსთაველის გამზირი 27,60მ²,01 ივლ 16:14
https://www.myhome.ge/pr/21624811/iyideba-1-otaxiani-bina-qutaisshi/,ქუთაისი,"103,463","2,874 / მ²",იყიდება 1 ოთახიანი ბინა ქუთაისში,ზასტავა,აბაშიძე ი. ქ.,36მ²,01 ივლ 16:10
https://www.myhome.ge/pr/21396132/qiravdeba-3-otaxiani-bina-qutaisshi/,ქუთაისი,"1,200",18 / მ²,ქირავდება 3 ოთახიანი ბინა ქუთაისში,ზასტავა,აბაშიძე ი. ქ. 23,65მ²,29 ივნ 00:23
https://www.myhome.ge/pr/21690503/iyideba-5-otaxiani-bina-qutaisshi/,ქუთაისი,"544,540","4,288 / მ²",იყიდება 5 ოთახიანი ბინა ქუთაისში,ზასტავა,აბაშიძე ი. ქ. 10,127მ²,28 ივნ 16:28
https://www.myhome.ge/pr/21651763/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,"221,900","2,774 / მ²",იყიდება 3 ოთახიანი ბინა ქუთაისში,აღმაშენებელი,აღმაშენებელი დ. გამზირი 112,80მ²,23 ივნ 23:47
https://www.myhome.ge/pr/20273014/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,"230,204","2,587 / მ²",იყიდება 3 ოთახიანი ბინა ქუთაისში,ბალახვანი,წერეთლის ქუჩა 184,89მ²,01 ივლ 18:06
https://www.myhome.ge/pr/20272833/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,"203,658","2,995 / მ²",იყიდება 3 ოთახიანი ბინა ქუთაისში,ბალახვანი,წერეთლის ქუჩა 184,68მ²,01 ივლ 18:05
https://www.myhome.ge/pr/20272519/iyideba-1-otaxiani-bina-qutaisshi/,ქუთაისი,"72,288","2,450 / მ²",იყიდება 1 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 8,29.5მ²,01 ივლ 18:03
https://www.myhome.ge/pr/20262235/iyideba-2-otaxiani-bina-qutaisshi/,ქუთაისი,"143,023","2,314 / მ²",იყიდება 2 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 8,61.8მ²,01 ივლ 18:02
https://www.myhome.ge/pr/21723508/qiravdeba-2-otaxiani-bina-qutaisshi/,ქუთაისი,600,9 / მ²,ქირავდება 2 ოთახიანი ბინა ქუთაისში,ნიკეა,ნიკეას ქ.,70მ²,01 ივლ 17:44
https://www.myhome.ge/pr/12716957/qiravdeba-dghiurad-1-otaxiani-bina-qutaisshi/,ქუთაისი,60,,ქირავდება დღიურად 1 ოთახიანი ბინა ქუთაისში,მეფეთუბანი,"თამარ მეფის I ჩიხი # 11, მეფესუთუბანი, ქუთაისი, იმერეთი",34მ²,01 ივლ 15:55
https://www.myhome.ge/pr/21485837/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,"203,386","2,450 / მ²",იყიდება 3 ოთახიანი ბინა ქუთაისში,ზასტავა,ჯავახიშვილი ი. ქუჩა,83მ²,01 ივლ 14:41
https://www.myhome.ge/pr/19570589/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,90,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,ზასტავა,რუსთაველის შეს. 27,57მ²,01 ივლ 10:35
https://www.myhome.ge/pr/21181365/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,100,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,აღმაშენებელი,აღმაშენებლის გამზ.,80მ²,01 ივლ 09:27
https://www.myhome.ge/pr/21616878/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,"163,362","2,513 / მ²",იყიდება 3 ოთახიანი ბინა ქუთაისში,ავტოქარხანა,ჭავჭავაძე ზ. ქ. 18,65მ²,30 ივნ 20:58
https://www.myhome.ge/pr/21654215/qiravdeba-3-otaxiani-bina-qutaisshi/,ქუთაისი,700,11 / მ²,ქირავდება 3 ოთახიანი ბინა ქუთაისში,ავტოქარხანა,ჭავჭავაძე ზ. ქ. 18,65მ²,30 ივნ 20:58
https://www.myhome.ge/pr/17790681/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,70,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,ზასტავა,ცხინვალის ქ.,60მ²,30 ივნ 20:08
https://www.myhome.ge/pr/21492894/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,"288,606","2,723 / მ²",იყიდება 3 ოთახიანი ბინა ქუთაისში,მეფეთუბანი,შანიძე ა. ქ. 5,106მ²,30 ივნ 18:56
https://www.myhome.ge/pr/21492773/iyideba-2-otaxiani-bina-qutaisshi/,ქუთაისი,"181,332","2,450 / მ²",იყიდება 2 ოთახიანი ბინა ქუთაისში,მეფეთუბანი,შანიძე ა. ქ. 5,74მ²,30 ივნ 18:56
https://www.myhome.ge/pr/21038177/qiravdeba-3-otaxiani-bina-qutaisshi/,ქუთაისი,"1,000",10 / მ²,ქირავდება 3 ოთახიანი ბინა ქუთაისში,შაომიანი,გაპონოვი ბ. ქ. 22,102მ²,30 ივნ 17:59
https://www.myhome.ge/pr/21593437/qiravdeba-4-otaxiani-bina-qutaisshi/,ქუთაისი,"1,634",15 / მ²,ქირავდება 4 ოთახიანი ბინა ქუთაისში,მეფეთუბანი,ფალიაშვილი ზ. ქ.,110მ²,30 ივნ 11:00
https://www.myhome.ge/pr/21605035/iyideba-2-otaxiani-bina-qutaisshi/,ქუთაისი,"162,001","3,235 / მ²",იყიდება 2 ოთახიანი ბინა ქუთაისში,აღმაშენებელი,აღმაშენებელი დ. გამზირი 112,50.07მ²,29 ივნ 00:28
https://www.myhome.ge/pr/21585451/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,"253,211","2,979 / მ²",იყიდება 3 ოთახიანი ბინა ქუთაისში,ავტოქარხანა,ავტომშენებლის I შეს. 14,85მ²,28 ივნ 18:13
https://www.myhome.ge/pr/21643097/iyideba-2-otaxiani-bina-qutaisshi/,ქუთაისი,"176,976","2,603 / მ²",იყიდება 2 ოთახიანი ბინა ქუთაისში,ნიკეა,ნიკეას ქ. 52,68მ²,28 ივნ 15:04
https://www.myhome.ge/pr/21126706/qiravdeba-2-otaxiani-bina-qutaisshi/,ქუთაისი,700,14 / მ²,ქირავდება 2 ოთახიანი ბინა ქუთაისში,აღმაშენებელი,აღმაშენებლის გამზ. 112,50მ²,25 ივნ 20:13
https://www.myhome.ge/pr/21158459/iyideba-4-otaxiani-bina-qutaisshi/,ქუთაისი,"340,338","4,932 / მ²",იყიდება 4 ოთახიანი ბინა ქუთაისში,მეფეთუბანი,თამარ მეფის ქ. 1,69მ²,23 ივნ 19:30
https://www.myhome.ge/pr/20809663/iyideba-4-otaxiani-bina-qutaisshi/,ქუთაისი,"3,305",44 / მ²,იყიდება 4 ოთახიანი ბინა ქუთაისში,ზასტავა,ბუხაიძის ქ.,75მ²,01 ივლ 18:50
https://www.myhome.ge/pr/21724306/qiravdeba-1-otaxiani-bina-qutaisshi/,ქუთაისი,450,13 / მ²,ქირავდება 1 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 9ბ,34მ²,01 ივლ 18:34
https://www.myhome.ge/pr/14442623/qiravdeba-dghiurad-1-otaxiani-bina-qutaisshi/,ქუთაისი,70,,ქირავდება დღიურად 1 ოთახიანი ბინა ქუთაისში,მეფეთუბანი,ნიუპორტის ქ.,25მ²,01 ივლ 16:42
https://www.myhome.ge/pr/21722163/iyideba-5-otaxiani-bina-qutaisshi/,ქუთაისი,"378,455","3,785 / მ²",იყიდება 5 ოთახიანი ბინა ქუთაისში,მეფეთუბანი,თამარ მეფის ქ.,100მ²,01 ივლ 16:40
https://www.myhome.ge/pr/21721385/iyideba-4-otaxiani-bina-qutaisshi/,ქუთაისი,"231,430","2,314 / მ²",იყიდება 4 ოთახიანი ბინა ქუთაისში,ზასტავა,9 აპრილის ქ. 2,100მ²,01 ივლ 16:07
https://www.myhome.ge/pr/21449593/iyideba-4-otaxiani-bina-qutaisshi/,ქუთაისი,"163,362","2,178 / მ²",იყიდება 4 ოთახიანი ბინა ქუთაისში,ზასტავა,ბუხაიძის ქ. 22,75მ²,01 ივლ 16:00
https://www.myhome.ge/pr/15056968/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,60,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,მეფეთუბანი,ბროსე მ. ქ.,38მ²,01 ივლ 15:56
https://www.myhome.ge/pr/21721123/qiravdeba-3-otaxiani-bina-qutaisshi/,ქუთაისი,550,7 / მ²,ქირავდება 3 ოთახიანი ბინა ქუთაისში,ავტოქარხანა,რობაქიძე გრ. ქ. 7,75მ²,01 ივლ 15:55
https://www.myhome.ge/pr/21721027/qiravdeba-2-otaxiani-bina-qutaisshi/,ქუთაისი,800,18 / მ²,ქირავდება 2 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 14,45მ²,01 ივლ 15:51
https://www.myhome.ge/pr/16671663/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,80,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,ლისი,აღმაშენებლის გამზ.,37მ²,01 ივლ 15:29
https://www.myhome.ge/pr/14215464/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,60,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,აღმაშენებელი,აღმაშენებლის გამზ.,45მ²,01 ივლ 15:29
https://www.myhome.ge/pr/11050410/qiravdeba-dghiurad-3-otaxiani-bina-qutaisshi/,ქუთაისი,50,,ქირავდება დღიურად 3 ოთახიანი ბინა ქუთაისში,,ილია ჭავჭავაძე # 46 ა (მაკდონალდსა და ავტსადგურიდან 50 მეტრში),60მ²,01 ივლ 15:29
https://www.myhome.ge/pr/17698634/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,80,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ.,42მ²,01 ივლ 15:29
https://www.myhome.ge/pr/17698454/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,80,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ.,42მ²,01 ივლ 15:29
https://www.myhome.ge/pr/20926927/iyideba-4-otaxiani-bina-qutaisshi/,ქუთაისი,"163,362","2,238 / მ²",იყიდება 4 ოთახიანი ბინა ქუთაისში,პასილოკი,მაისურაძის ქ. 3,73მ²,01 ივლ 15:27
https://www.myhome.ge/pr/21719925/qiravdeba-4-otaxiani-bina-qutaisshi/,ქუთაისი,"1,000",14 / მ²,ქირავდება 4 ოთახიანი ბინა ქუთაისში,ავტოქარხანა,მუსხელიშვილის ქ. 1ა,74მ²,01 ივლ 15:05
https://www.myhome.ge/pr/21266442/qiravdeba-4-otaxiani-bina-qutaisshi/,ქუთაისი,800,9 / მ²,ქირავდება 4 ოთახიანი ბინა ქუთაისში,ზასტავა,ბუხაიძის ქ.,90მ²,01 ივლ 15:00
https://www.myhome.ge/pr/21719705/iyideba-1-otaxiani-bina-qutaisshi/,ქუთაისი,"100,740","3,250 / მ²",იყიდება 1 ოთახიანი ბინა ქუთაისში,მეფეთუბანი,ფალიაშვილი ზ. ქ.,31მ²,01 ივლ 14:53
https://www.myhome.ge/pr/9500323/qiravdeba-dghiurad-3-otaxiani-bina-qutaisshi/,ქუთაისი,50,,ქირავდება დღიურად 3 ოთახიანი ბინა ქუთაისში,,თამარ მეფის 107,111მ²,01 ივლ 13:52
https://www.myhome.ge/pr/16760111/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,70,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,ზასტავა,აბაშიძე ი. ქ. 17ა,35მ²,01 ივლ 13:43
https://www.myhome.ge/pr/21718404/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,"114,353","2,158 / მ²",იყიდება 3 ოთახიანი ბინა ქუთაისში,ავტოქარხანა,შერვაშიძის ქ. 53,53მ²,01 ივლ 13:35
https://www.myhome.ge/pr/15779656/qiravdeba-dghiurad-4-otaxiani-bina-qutaisshi/,ქუთაისი,120,,ქირავდება დღიურად 4 ოთახიანი ბინა ქუთაისში,მეფეთუბანი,თამარ მეფის ქ.,65მ²,01 ივლ 13:28
https://www.myhome.ge/pr/12606768/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,60,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,მეფეთუბანი,თამარ მეფის 59,45მ²,01 ივლ 13:28
