url,city,price,price_per_sqm,description,district_name,street_address,area_m2,upload_date
https://home.ss.ge/ka/udzravi-qoneba/iyideba-3-otaxiani-bina-mesame-masivshi-32666770,თბილისი,"96,900 $",,იყიდება 3 ოთახიანი ბინა მესამე მასივში,არ არის მოწოდებული,ფანასკერტელ-ციციშვილის ქ.,88 მ²,0 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/qiravdeba-1-otaxiani-bina-muxianshi-28861997,თბილისი,550 ₾,,ქირავდება 1 ოთახიანი ბინა მუხიანში,არ არის მოწოდებული,ნონეშვილის ქ.,25 მ²,1 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/iyideba-3-otaxiani-bina-did-dighomshi-32666755,თბილისი,"50,000 $",,იყიდება 3 ოთახიანი ბინა დიდ დიღომში,არ არის მოწოდებული,არჩილ მეფის ქ.,165 მ²,1 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/qiravdeba-2-otaxiani-bina-didubeshi-32664300,თბილისი,850 $,,ქირავდება 2 ოთახიანი ბინა დიდუბეში,არ არის მოწოდებული,ხოშარაულის ქ.,65 მ²,4 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/qiravdeba-3-otaxiani-bina-vakeshi-32666760,თბილისი,"1,500 $",,ქირავდება 3 ოთახიანი ბინა ვაკეში,არ არის მოწოდებული,ი.ჭავჭავაძის გამზ.,138 მ²,5 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/qiravdeba-3-otaxiani-bina-muxianshi-32666541,თბილისი,600 $,,ქირავდება 3 ოთახიანი ბინა მუხიანში,არ არის მოწოდებული,გობრონიძის ქ.,68 მ²,5 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/iyideba-2-otaxiani-bina-dighmis-masivshi-32610449,თბილისი,"85,000 $",,იყიდება 2 ოთახიანი ბინა დიღმის მასივში,არ არის მოწოდებული,ბელიაშვილის ქ.,51 მ²,5 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/iyideba-3-otaxiani-bina-mesame-masivshi-32666759,თბილისი,"89,600 $",,იყიდება 3 ოთახიანი ბინა მესამე მასივში,არ არის მოწოდებული,ფანასკერტელ-ციციშვილის ქ.,81 მ²,6 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/qiravdeba-2-otaxiani-bina-saburtaloze-32509240,თბილისი,500 $,,ქირავდება 2 ოთახიანი ბინა საბურთალოზე,არ არის მოწოდებული,ბოჭორიშვილის ქ.,60 მ²,6 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/iyideba-3-otaxiani-bina-isanshi-31849758,თბილისი,"79,200 $",,იყიდება 3 ოთახიანი ბინა ისანში,არ არის მოწოდებული,შ.ნადირაშვილის ქ.,66 მ²,6 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/qiravdeba-2-otaxiani-bina-ortatchalashi-32094545,თბილისი,"1,200 ₾",,ქირავდება 2 ოთახიანი ბინა ორთაჭალაში,არ არის მოწოდებული,გორგასლის ქ.,65 მ²,6 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/iyideba-4-otaxiani-bina-saburtaloze-32533348,თბილისი,"179,000 $",,იყიდება 4 ოთახიანი ბინა საბურთალოზე,არ არის მოწოდებული,უნივერსიტეტის ქ.,96 მ²,6 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/qiravdeba-3-otaxiani-bina-saburtaloze-32665622,თბილისი,800 $,,ქირავდება 3 ოთახიანი ბინა საბურთალოზე,არ არის მოწოდებული,ქავთარაძის ქ.,150 მ²,6 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/iyideba-2-otaxiani-bina-vakeshi-32664468,თბილისი,"120,000 $",,იყიდება 2 ოთახიანი ბინა ვაკეში,არ არის მოწოდებული,ნ. ჟვანიას ქ.,60 მ²,6 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/iyideba-3-otaxiani-bina-muxianshi-32082480,თბილისი,"58,300 $",,იყიდება 3 ოთახიანი ბინა მუხიანში,არ არის მოწოდებული,გობრონიძის ქ.,61.4 მ²,6 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/qiravdeba-2-otaxiani-bina-saburtaloze-32664074,თბილისი,700 $,,ქირავდება 2 ოთახიანი ბინა საბურთალოზე,არ არის მოწოდებული,მარშალ გელოვანის გამზ.,45 მ²,6 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/giravdeba-2-otaxiani-bina-nucubidzis-ferdobze-28060539,თბილისი,"13,000 $",,გირავდება 2 ოთახიანი ბინა ნუცუბიძის ფერდობზე,არ არის მოწოდებული,ნუცუბიძის IV პლატო,70 მ²,6 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/iyideba-2-otaxiani-bina-lisis-tbaze-31653663,თბილისი,"74,200 $",,იყიდება 2 ოთახიანი ბინა ლისის ტბაზე,არ არის მოწოდებული,ავთო ვარაზის ქ.,53 მ²,6 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/qiravdeba-2-otaxiani-bina-saburtaloze-32518728,თბილისი,650 $,,ქირავდება 2 ოთახიანი ბინა საბურთალოზე,არ არის მოწოდებული,იყალთოს გორა,54 მ²,6 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/qiravdeba-3-otaxiani-bina-safichxiaze-7864264,ქუთაისი,"1,050 $",,ქირავდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,თამარ მეფის ქ.,76 მ²,6 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/iyideba-2-otaxiani-bina-gora-saqusliaze-7165156,ქუთაისი,"45,000 $",,იყიდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,შერვაშიძის ქუჩა,68 მ²,24 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/qiravdeba-dghiurad-2-otaxiani-bina-gabashvilis-goraze-29333268,ქუთაისი,90 ₾,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ი. პეტრიწის ქუჩა,45 მ²,24 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/qiravdeba-dghiurad-1-otaxiani-bina-tchavtchavadzis-dasaxlebashi-27959226,ქუთაისი,60 ₾,,ქირავდება დღიურად 1 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ი. ჭავჭავაძის გამზირი,30 მ²,32 წუთის წინ
https://home.ss.ge/ka/udzravi-qoneba/qiravdeba-3-otaxiani-bina-aghmasheneblis-dasaxlebashi-29609204,ქუთაისი,500 $,,ქირავდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,დ. აღმაშენებლის გამზირი,100 მ²,1 საათის წინ
https://home.ss.ge/ka/udzravi-qoneba/qiravdeba-3-otaxiani-bina-zastavashi-29455914,ქუთაისი,800 ₾,,ქირავდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ზვიად გამსახურდიას ქ.,80 მ²,1 საათის წინ
https://home.ss.ge/ka/udzravi-qoneba/qiravdeba-dghiurad-2-otaxiani-bina-aghmasheneblis-dasaxlebashi-32666562,ქუთაისი,50 ₾,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,დ. აღმაშენებლის გამზირი,65 მ²,1 საათის წინ
https://home.ss.ge/ka/udzravi-qoneba/qiravdeba-dghiurad-2-otaxiani-bina-balaxvanshi-32260687,ქუთაისი,80 ₾,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,განჯის ქუჩა,50 მ²,2 საათის წინ
